DATA LENGTH(steps) :
4798
STEP LENGTH(sec) :
0.005000

dPCz,         PEL_Q0,      PEL_Qx,      PEL_Qy,      PEL_Qz,      WST,         RSP,         RSR,         RSY,         REB,         RWY,         RWP,         LSP,         LSR,         LSY,         LEB,         LWY,         LWP,         NKY,         NK1,         NK2,         RF1,         RF2,         RF3,         RF4,         RF5,         LF1,         LF2,         LF3,         LF4,         LF5
-0.000122    0.999999     0.000010     -0.001572    -0.000010    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000129    0.999999     0.000012     -0.001660    -0.000010    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000136    0.999998     0.000014     -0.001749    -0.000009    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000143    0.999998     0.000017     -0.001842    -0.000009    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000150    0.999998     0.000019     -0.001935    -0.000009    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000158    0.999998     0.000022     -0.002032    -0.000008    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000166    0.999998     0.000025     -0.002129    -0.000008    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000174    0.999998     0.000028     -0.002229    -0.000007    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000182    0.999997     0.000031     -0.002329    -0.000007    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
-0.000191    0.999997     0.000035     -0.002433    -0.000006    0.000000     10.000000    -10.000000   0.000000     -30.000000   0.000000     0.000000     10.000000    10.000000    0.000000     -30.000000   0.000000     0.000000     0.000000     0.000000     0.000000     -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000  -127.000000 
